Frame Number,Time Stamp (ms),Buffer Index
1207,20121,0
1208,20138,0
1209,20155,0
1210,20172,0
1211,20188,0
1212,20205,0
1213,20222,0
1214,20238,0
1215,20255,0
1216,20272,0
1217,20289,0
1218,20305,0
1219,20322,0
1220,20338,0
1221,20355,0
1222,20372,0
1223,20389,0
1224,20405,0
1225,20422,0
1226,20439,0
1227,20456,0
1228,20472,0
1229,20489,0
1230,20506,0
1231,20522,0
1232,20539,0
1233,20556,0
1234,20572,0
1235,20589,0
1236,20606,0
1237,20623,0
1238,20639,0
1239,20656,0
1240,20672,0
1241,20690,0
1242,20706,0
1243,20723,0
1244,20739,0
1245,20756,0
1246,20773,0
1247,20789,0
1248,20806,0
1249,20823,0
1250,20839,0
1251,20856,0
1252,20873,0
1253,20889,0
1254,20906,0
1255,20923,0
1256,20940,0
1257,20956,0
1258,20973,0
1259,20990,0
1260,21006,0
1261,21023,0
1262,21040,0
1263,21056,0
1264,21072,0
1265,21089,0
1266,21105,0
1267,21122,0
1268,21140,0
1269,21156,0
1270,21173,0
1271,21190,0
1272,21206,0
1273,21224,0
1274,21240,0
1275,21257,0
1276,21273,0
1277,21290,0
1278,21306,0
1279,21323,0
1280,21339,0
1281,21356,0
1282,21373,0
1283,21390,0
1284,21407,0
1285,21423,0
1286,21440,0
1287,21457,0
1288,21473,0
1289,21490,0
1290,21507,0
1291,21524,0
1292,21540,0
1293,21557,0
1294,21573,0
1295,21590,0
1296,21607,0
1297,21624,0
1298,21640,0
1299,21657,0
1300,21674,0
1301,21690,0
1302,21707,0
1303,21724,0
1304,21740,0
1305,21757,0
1306,21774,0
1307,21791,0
1308,21807,0
1309,21824,0
1310,21840,0
1311,21858,0
1312,21874,0
1313,21890,0
1314,21907,0
1315,21924,0
1316,21941,0
1317,21957,0
1318,21974,0
1319,21991,0
1320,22006,0
1321,22023,0
1322,22040,0
1323,22057,0
1324,22073,0
1325,22090,0
1326,22106,0
1327,22124,0
1328,22140,0
1329,22157,0
1330,22173,0
1331,22190,0
1332,22207,0
1333,22224,0
1334,22240,0
1335,22257,0
1336,22273,0
1337,22290,0
1338,22307,0
1339,22324,0
1340,22340,0
1341,22357,0
1342,22374,0
1343,22390,0
1344,22407,0
1345,22424,0
